Code_postal;Nom_commune;INSEE_COM
2000;LAON;2408
92000;NANTERRE;92050
75013;PARIS 13;75113
75015;PARIS 15;75115
75019;PARIS 19;75119
59000;LILLE;59350
28000;CHARTRES;28085
62200;BOULOGNE SUR MER;62160
50100;CHERBOURG EN COTENTIN;50129
80000;AMIENS;80021
59400;CAMBRAI;59122
14000;CAEN;14118
76000;ROUEN;76540
10300;MACEY;10211
29200;BREST;29019
29000;QUIMPER;29232
51000;CHALONS EN CHAMPAGNE;51108
22000;ST BRIEUC;22278
72000;LE MANS;72181
37000;TOURS;37261
44100;NANTES;44109
45000;ORLEANS;45234
35000;RENNES;35238
56000;VANNES;56260
85000;LA ROCHE SUR YON;85191
18000;BOURGES;18033
49000;ANGERS;49007
22300;LANNION;22113
89000;AUXERRE;89024
16000;ANGOULEME;16015
86000;POITIERS;86194
81000;ALBI;81004
36000;CHATEAUROUX;36044
47000;AGEN;47001
19100;BRIVE LA GAILLARDE;19031
12000;DRUELLE;12090
33000;BORDEAUX;33063
31000;TOULOUSE;31555
17000;LA ROCHELLE;17300
87000;LIMOGES;87085
64000;PAU;64445
64100;BAYONNE;64102
24100;BERGERAC;24037
82000;MONTAUBAN;82121
46000;CAHORS;46042
11430;GRUISSAN;11170
84000;AVIGNON;84007
30000;NIMES;30189
6600;ANTIBES;6004
13013;MARSEILLE 13;13213
30250;SOMMIERES;30321
6450;ST MARTIN VESUBIE;6127
66000;PERPIGNAN;66136
83310;COGOLIN;83042
73410;ALBENS;73010
73250;ST PIERRE D ALBIGNY;73270
3800;GANNAT;3118
38260;PENOL;38300
43000;LE PUY EN VELAY;43157
71250;CLUNY;71137
3100;MONTLUCON;3185
42300;ROANNE;42187
38270;BEAUREPAIRE;38034
42100;ST ETIENNE;42218
74200;THONON LES BAINS;74281
26000;VALENCE;26362
25000;BESANCON;25056
71400;AUTUN;71014
21000;DIJON;21231
57280;MAIZIERES LES METZ;57433
88000;EPINAL;88160
57230;BITCHE;57089
68300;ST LOUIS;68297
